,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
29553,6,7,102,1000,60070001021000,Block 1000,G5040,U,16318.0,U,S,99794,0,39.755770299999995,-121.82716809999998
31658,6,7,102,1001,60070001021001,Block 1001,G5040,U,16318.0,U,S,186815,0,39.7564649,-121.8314355
30175,6,7,102,1002,60070001021002,Block 1002,G5040,U,16318.0,U,S,15498,0,39.7564565,-121.83301740000002
31929,6,7,102,1003,60070001021003,Block 1003,G5040,U,16318.0,U,S,15929,0,39.7543815,-121.8320618
30542,6,7,102,1004,60070001021004,Block 1004,G5040,U,16318.0,U,S,14525,0,39.7543749,-121.8309852
30480,6,7,102,1005,60070001021005,Block 1005,G5040,U,16318.0,U,S,139711,0,39.7528523,-121.8331598
28976,6,7,102,1006,60070001021006,Block 1006,G5040,U,16318.0,U,S,10224,0,39.75235870000001,-121.8404577
28577,6,7,102,1007,60070001021007,Block 1007,G5040,U,16318.0,U,S,80108,0,39.7555289,-121.84097890000001
29716,6,7,102,1008,60070001021008,Block 1008,G5040,U,16318.0,U,S,87665,0,39.7536164,-121.8405807
32210,6,7,102,1009,60070001021009,Block 1009,G5040,U,16318.0,U,S,30164,0,39.7547315,-121.8262442
31536,6,7,102,1010,60070001021010,Block 1010,G5040,U,16318.0,U,S,37751,0,39.753728100000004,-121.82617009999998
26169,6,7,102,1011,60070001021011,Block 1011,G5040,U,16318.0,U,S,19806,0,39.7530084,-121.8265496
26178,6,7,102,1012,60070001021012,Block 1012,G5040,U,16318.0,U,S,97020,0,39.7519902,-121.843143
29563,6,7,102,2000,60070001022000,Block 2000,G5040,U,16318.0,U,S,211919,0,39.7635423,-121.8317925
29564,6,7,102,2001,60070001022001,Block 2001,G5040,U,16318.0,U,S,4907,0,39.764180700000004,-121.8307926
32207,6,7,102,2002,60070001022002,Block 2002,G5040,U,16318.0,U,S,12518,0,39.7635359,-121.83031880000001
30173,6,7,102,2003,60070001022003,Block 2003,G5040,U,16318.0,U,S,99104,0,39.7599085,-121.83163859999999
28770,6,7,102,2004,60070001022004,Block 2004,G5040,U,16318.0,U,S,181445,0,39.7590416,-121.82691940000001
30319,6,7,102,2005,60070001022005,Block 2005,G5040,U,16318.0,U,S,103538,0,39.7599648,-121.82214760000001
30548,6,7,102,2006,60070001022006,Block 2006,G5040,U,16318.0,U,S,63429,0,39.7577016,-121.8232558
30382,6,7,102,2007,60070001022007,Block 2007,G5040,U,16318.0,U,S,61059,0,39.7571675,-121.82126070000001
28447,6,7,102,3000,60070001023000,Block 3000,G5040,U,16318.0,U,S,147101,0,39.7619634,-121.8010385
28920,6,7,102,3001,60070001023001,Block 3001,G5040,U,16318.0,U,S,384235,0,39.758654299999996,-121.80890790000001
28004,6,7,102,3002,60070001023002,Block 3002,G5040,U,16318.0,U,S,2413,0,39.760510499999995,-121.81070759999999
31968,6,7,102,3003,60070001023003,Block 3003,G5040,U,16318.0,U,S,2762,0,39.7577401,-121.8114429
27789,6,7,102,3004,60070001023004,Block 3004,G5040,U,16318.0,U,S,17319,0,39.756826700000005,-121.8139798
31064,6,7,102,3005,60070001023005,Block 3005,G5040,U,16318.0,U,S,9471,0,39.758767299999995,-121.81051550000001
26759,6,7,102,3006,60070001023006,Block 3006,G5040,U,16318.0,U,S,11674,0,39.758883600000004,-121.81209890000001
31892,6,7,102,3007,60070001023007,Block 3007,G5040,U,16318.0,U,S,5245,0,39.7597428,-121.8109855
25975,6,7,102,3008,60070001023008,Block 3008,G5040,U,16318.0,U,S,8222,0,39.7576162,-121.8099598
30269,6,7,102,3009,60070001023009,Block 3009,G5040,U,16318.0,U,S,7176,0,39.7577835,-121.808485
28919,6,7,102,3010,60070001023010,Block 3010,G5040,U,16318.0,U,S,69707,0,39.760381,-121.8132087
28574,6,7,102,3011,60070001023011,Block 3011,G5040,U,16318.0,U,S,24895,0,39.7611444,-121.8089517
28771,6,7,102,3012,60070001023012,Block 3012,G5040,U,16318.0,U,S,195494,0,39.758951399999994,-121.8177197
30550,6,7,102,3013,60070001023013,Block 3013,G5040,U,16318.0,U,S,116352,0,39.7554055,-121.8183895
28989,6,7,102,3014,60070001023014,Block 3014,G5040,U,16318.0,U,S,27582,0,39.75417120000001,-121.8227124
30500,6,7,102,3015,60070001023015,Block 3015,G5040,U,16318.0,U,S,44548,0,39.755399100000005,-121.82261090000002
